entry_bar,exit_bar,entry_time,exit_time,side,pnl
66943,66962,2016-07-21T11:40,2016-07-22T08:30,1,-659.0499999999884
67140,67199,2016-07-27T09:05,2016-07-28T09:15,1,1639.2749999999942
67276,67301,2016-07-29T10:55,2016-07-29T13:00,1,-573.0900000000111
67336,67417,2016-08-01T11:10,2016-08-03T08:25,1,176.18499999999767
67702,67715,2016-08-10T08:25,2016-08-10T09:30,1,-146.07499999998254
67838,67930,2016-08-12T10:15,2016-08-16T08:25,-1,603.6950000000361
67996,68044,2016-08-17T09:10,2016-08-18T08:25,-1,-518.6649999999645
68180,68215,2016-08-22T10:15,2016-08-23T08:25,-1,-318.8799999999901
68276,68386,2016-08-24T08:45,2016-08-26T08:25,-1,575.5850000000501
68406,68407,2016-08-26T10:05,2016-08-26T10:10,-1,18.835000000006403
68554,68671,2016-08-30T12:55,2016-09-02T08:25,-1,143.35000000000582
68786,68876,2016-09-06T08:35,2016-09-07T11:20,1,-245.31000000002678
69026,69069,2016-09-12T09:35,2016-09-13T08:25,-1,-524.5050000000192
69125,69152,2016-09-13T13:05,2016-09-14T10:35,-1,-497.0850000000064
69189,69214,2016-09-15T08:55,2016-09-15T11:00,-1,-312.6849999999831
69240,69297,2016-09-16T08:25,2016-09-19T08:25,-1,131.5
69873,70097,2016-10-03T08:55,2016-10-07T08:35,-1,1891.25
70098,70099,2016-10-07T08:40,2016-10-07T08:45,-1,-628.1999999999971
70128,70148,2016-10-07T11:10,2016-10-07T12:50,-1,-71.59999999999127
70262,70400,2016-10-11T12:50,2016-10-14T10:05,-1,526.4349999999977
70669,70722,2016-10-21T08:45,2016-10-24T08:25,-1,-602.9600000000064
70779,70842,2016-10-25T08:25,2016-10-26T08:55,1,59.16000000000349
70866,70908,2016-10-26T10:55,2016-10-27T09:40,1,-379.195000000007
70962,71178,2016-10-28T09:25,2016-11-03T08:25,1,749.8549999999959
71243,71299,2016-11-04T09:05,2016-11-07T09:00,1,-551.7949999999983
71352,71423,2016-11-08T08:40,2016-11-09T09:50,1,94.34999999999127
71481,71507,2016-11-10T09:55,2016-11-10T12:05,-1,-592.9850000000006
71531,71567,2016-11-11T09:20,2016-11-11T12:20,-1,879.0100000000093
71577,71628,2016-11-14T08:25,2016-11-14T12:40,-1,279.2950000000128
71814,71862,2016-11-18T09:10,2016-11-21T08:25,-1,-271.5249999999942
72083,72165,2016-11-24T12:35,2016-11-28T10:00,-1,-146.02499999999418
72295,72353,2016-11-30T11:20,2016-12-01T11:25,-1,-317.4499999999971
72482,72496,2016-12-05T12:40,2016-12-06T09:05,1,152.85000000000582
72889,72944,2016-12-15T08:35,2016-12-16T08:25,-1,553.2149999999965
73516,73691,2017-01-03T08:35,2017-01-06T08:55,1,1249.0
73742,73881,2017-01-09T08:25,2017-01-11T10:30,1,-715.5899999999965
73913,73972,2017-01-12T08:25,2017-01-13T08:35,1,-577.6450000000041
74095,74140,2017-01-17T09:25,2017-01-18T08:25,1,-918.9199999999983
74200,74259,2017-01-19T08:40,2017-01-20T08:50,-1,-446.5199999999895
74382,74436,2017-01-24T09:35,2017-01-25T09:20,1,-330.3950000000041
74767,74824,2017-02-02T08:25,2017-02-03T08:25,1,-695.75
74881,75109,2017-02-06T08:25,2017-02-10T08:25,1,-170.2849999999744
75678,75792,2017-02-24T08:25,2017-02-28T08:25,1,266.36999999999534
75951,76476,2017-03-02T12:10,2017-03-16T08:25,-1,1939.0350000000035
76620,76800,2017-03-20T10:55,2017-03-23T11:40,1,-668.4499999999971
76875,76932,2017-03-27T08:25,2017-03-28T08:25,1,-644.2300000000105
77015,77160,2017-03-29T10:35,2017-04-03T08:25,-1,51.0
77390,77391,2017-04-07T08:35,2017-04-07T08:40,1,-525.3500000000058
77445,77503,2017-04-10T08:25,2017-04-11T08:30,-1,-380.5500000000029
77675,77747,2017-04-17T08:35,2017-04-18T09:50,1,-94.85000000000582
78022,78186,2017-04-25T09:00,2017-04-28T08:25,-1,37.875
78243,78439,2017-05-01T08:25,2017-05-04T10:30,-1,1849.4750000000058
78813,78858,2017-05-15T08:25,2017-05-15T12:10,1,-65.82000000000698
78872,78984,2017-05-16T08:35,2017-05-18T08:25,1,-80.27499999999418
79154,79198,2017-05-22T13:05,2017-05-23T12:00,1,-84.72999999999593
79326,79366,2017-05-26T08:25,2017-05-26T11:45,1,-104.05000000000291
79553,79578,2017-06-01T08:25,2017-06-01T10:30,-1,-50.554999999993015
79611,79613,2017-06-02T08:30,2017-06-02T08:40,-1,-545.375
79745,79775,2017-06-06T10:10,2017-06-06T12:40,1,-559.2750000000087
80047,80068,2017-06-13T11:35,2017-06-14T08:35,-1,-328.25999999999476
80123,80139,2017-06-15T08:25,2017-06-15T09:45,-1,-290.83000000000175
80359,80378,2017-06-21T09:05,2017-06-21T10:40,-1,-515.4250000000029
