entry_bar,exit_bar,entry_time,exit_time,side,pnl
66168,66193,2022-02-14T09:05,2022-02-14T11:10,1,2203.9300000001094
66240,66312,2022-02-15T09:05,2022-02-16T09:05,1,790.3300000001327
66456,66467,2022-02-18T09:05,2022-02-18T10:00,1,438.429999999993
66528,66534,2022-02-21T09:05,2022-02-21T09:35,1,-1444.070000000007
66600,66672,2022-02-22T09:05,2022-02-23T09:05,1,662.8299999998417
66766,66805,2022-02-24T10:55,2022-02-24T14:10,1,3953.1300000000047
67248,67266,2022-03-07T09:05,2022-03-07T10:35,1,7147.230000000098
67383,67450,2022-03-08T14:20,2022-03-09T13:55,1,10225.630000000237
67781,67824,2022-03-16T11:30,2022-03-17T09:05,-1,-754.7699999999022
68598,68616,2022-03-31T13:35,2022-04-01T09:05,-1,-863.2699999999604
69048,69336,2022-04-13T09:05,2022-04-19T09:05,1,4017.630000000121
69840,69909,2022-04-28T09:05,2022-04-28T14:50,-1,-288.5699999999488
70488,70560,2022-05-16T09:05,2022-05-17T09:05,-1,544.0299999999697
70632,70704,2022-05-18T09:05,2022-05-19T09:05,-1,154.62999999988824
71136,71280,2022-05-27T09:05,2022-05-31T09:05,1,-371.7700000000186
71568,71640,2022-06-07T09:05,2022-06-08T09:05,-1,-1721.7699999999022
71856,71928,2022-06-13T09:05,2022-06-14T09:05,1,2664.729999999923
72000,72072,2022-06-15T09:05,2022-06-16T09:05,-1,-373.77000000007683
72504,72577,2022-06-24T09:05,2022-06-27T09:10,-1,-1451.170000000042
72821,72936,2022-06-30T11:30,2022-07-04T09:05,-1,2470.929999999935
73080,73179,2022-07-06T09:05,2022-07-07T11:20,-1,10412.429999999935
73368,73373,2022-07-12T09:05,2022-07-12T09:30,-1,-158.96999999997206
73466,73512,2022-07-13T11:15,2022-07-14T09:05,-1,-1255.8699999999371
73584,73658,2022-07-15T09:05,2022-07-18T09:15,-1,656.730000000156
73872,73944,2022-07-21T09:05,2022-07-22T09:05,-1,950.730000000156
74232,74470,2022-07-28T09:05,2022-08-02T10:55,1,11224.929999999818
74664,74736,2022-08-05T09:05,2022-08-08T09:05,1,-960.0700000000652
74880,74952,2022-08-10T09:05,2022-08-11T09:05,1,-1422.769999999844
75096,75168,2022-08-15T09:05,2022-08-16T09:05,1,-1306.0699999999488
75384,75600,2022-08-19T09:05,2022-08-24T09:05,-1,-390.16999999969266
