entry_bar,exit_bar,entry_time,exit_time,side,pnl
30048,30052,2024-04-19T09:35,2024-04-19T09:55,1,1779.6299999999756
30186,30199,2024-04-23T09:05,2024-04-23T10:10,-1,8041.130000000005
31338,31341,2024-05-20T09:05,2024-05-20T09:20,1,4522.430000000037
31392,31402,2024-05-20T13:35,2024-05-20T14:25,1,-171.36999999999534
33789,33846,2024-07-08T09:20,2024-07-08T14:05,1,-2827.1699999999546
34074,34309,2024-07-12T09:05,2024-07-17T10:40,1,15520.529999999984
35082,35102,2024-08-01T09:05,2024-08-01T10:45,1,-217.5700000000943
35180,35226,2024-08-02T11:15,2024-08-05T09:05,1,-2300.469999999972
35361,35363,2024-08-06T14:20,2024-08-06T14:30,-1,-2609.2699999999895
35374,35382,2024-08-07T09:25,2024-08-07T10:05,-1,-2628.569999999905
35946,35948,2024-08-19T09:05,2024-08-19T09:15,1,749.3300000000309
36102,36180,2024-08-21T10:05,2024-08-22T10:35,1,-1617.0700000001088
36450,36504,2024-08-28T09:05,2024-08-28T13:35,1,-2618.4700000000885
36666,36757,2024-09-02T09:05,2024-09-03T10:40,-1,-454.4699999999866
36876,36940,2024-09-04T14:35,2024-09-05T13:55,-1,-1648.4699999999284
37314,37449,2024-09-13T09:05,2024-09-18T14:20,1,6222.4299999999785
37548,37733,2024-09-20T10:35,2024-09-24T14:00,1,6813.429999999964
37746,37800,2024-09-25T09:05,2024-09-25T13:35,1,1570.5300000000134
38376,38394,2024-10-14T13:35,2024-10-15T09:05,1,-502.07000000010885
38466,38673,2024-10-16T09:05,2024-10-18T14:20,1,15365.530000000013
38682,38898,2024-10-21T09:05,2024-10-24T09:05,1,4328.130000000005
39125,39324,2024-10-29T10:00,2024-10-31T14:35,1,5902.629999999917
41350,41400,2024-12-11T09:25,2024-12-11T13:35,1,-2720.270000000106
41418,41490,2024-12-12T09:05,2024-12-13T09:05,1,-314.5699999999488
42858,42932,2025-01-10T09:05,2025-01-13T09:15,1,2496.9300000000076
43146,43290,2025-01-16T09:05,2025-01-20T09:05,1,478.42999999994936
43434,43497,2025-01-22T09:05,2025-01-22T14:20,1,2191.2300000000687
43591,43664,2025-01-24T10:10,2025-01-27T10:15,1,-2174.1699999999546
43722,43864,2025-02-05T09:05,2025-02-06T14:55,1,19889.529999999926
43938,44028,2025-02-10T09:05,2025-02-11T10:35,1,15395.230000000112
45666,45720,2025-03-14T09:05,2025-03-14T13:35,1,2683.230000000098
45813,46044,2025-03-18T09:20,2025-03-21T10:35,1,9179.530000000028
46386,46588,2025-03-28T09:05,2025-04-01T13:55,1,24020.929999999906
46674,46692,2025-04-03T09:05,2025-04-03T10:35,1,4360.430000000022
47034,47037,2025-04-11T09:05,2025-04-11T09:20,1,10608.330000000104
47052,47089,2025-04-11T10:35,2025-04-11T13:40,1,-2518.170000000013
47112,47160,2025-04-14T09:35,2025-04-14T13:35,1,-972.4699999999721
47250,47328,2025-04-16T09:05,2025-04-17T09:35,1,26196.630000000063
47466,47592,2025-04-21T09:05,2025-04-22T13:35,1,33209.729999999894
47596,47602,2025-04-22T13:55,2025-04-22T14:25,1,-2021.0699999999488
54027,54044,2025-09-01T09:50,2025-09-01T11:15,1,4440.62999999999
54085,54100,2025-09-01T14:40,2025-09-02T09:55,1,3960.529999999999
54162,54240,2025-09-03T09:05,2025-09-04T09:35,1,5950.23000000004
54378,54511,2025-09-08T09:05,2025-09-09T14:10,1,13203.229999999938
54810,54831,2025-09-16T09:05,2025-09-16T10:50,1,1096.629999999932
54879,54888,2025-09-16T14:50,2025-09-17T09:35,1,-4004.470000000045
55164,55260,2025-09-22T14:35,2025-09-24T10:35,1,9287.630000000208
55296,55314,2025-09-24T13:35,2025-09-25T09:05,1,-988.9700000000885
55458,55459,2025-09-29T09:05,2025-09-29T09:10,1,-1224.469999999943
55512,55601,2025-09-29T13:35,2025-09-30T15:00,1,10222.430000000051
55602,55603,2025-10-09T09:05,2025-10-09T09:10,1,26208.630000000034
55604,55612,2025-10-09T09:15,2025-10-09T09:55,1,4025.530000000057
55746,55873,2025-10-13T09:05,2025-10-14T13:40,1,34429.429999999964
55891,55894,2025-10-15T09:10,2025-10-15T09:25,1,-3497.070000000065
55960,56016,2025-10-15T14:55,2025-10-16T13:35,1,7242.429999999993
56034,56035,2025-10-17T09:05,2025-10-17T09:10,1,21509.929999999993
56060,56088,2025-10-17T11:15,2025-10-17T13:35,1,-3895.569999999978
56090,56100,2025-10-17T13:45,2025-10-17T14:35,1,-3105.070000000007
